x,y,width,height
0.5043971,-0.22348367,0.05,0.038000000000000006
-0.45971432,0.52255726,0.05,0.036642857142857144
-0.453605,0.5424458,0.05,0.037785714285714284
0.6051481,-0.14547932,0.05,0.0378
-0.493749,0.5727736,0.05,0.037328571428571426
-0.73975474,-1.3139217,0.05,0.03308571428571429
-0.6398785,-0.1636556,0.05,0.03692857142857143
-0.65563047,-1.6838404,0.05,0.033171428571428574
0.6689838,0.7712589,0.05,0.024871428571428572
-1.7475779,1.4350628,0.03478571428571429,0.05
1.4852762,0.52366227,0.04772857142857143,0.03512857142857143
0.75632155,-1.056211,0.0348,0.05
-0.6173335,-1.0643139,0.05,0.03467142857142857
-0.59467053,0.49648094,0.05,0.03505714285714286
1.5291996,0.6808285,0.04765714285714286,0.03491428571428572
-0.6447342,0.29560375,0.05,0.03491428571428572
0.66819745,-1.4067326,0.035871428571428575,0.05
1.512796,0.54432565,0.047528571428571434,0.03471428571428572
0.4692797,-0.279827,0.05,0.03862857142857143
-1.7339817,1.3845106,0.035242857142857145,0.05
0.5904536,-0.25361556,0.05,0.037942857142857146
-0.23239647,-0.47162002,0.05,0.036057142857142864
-1.9259669,0.6969364,0.0303,0.04285714285714286
1.0636487,0.7788581,0.04794285714285715,0.03477142857142857
-1.438616,-1.546768,0.03482857142857143,0.0441
0.61075044,1.3342669,0.05,0.03848571428571429
-1.4649647,-1.5536197,0.034871428571428574,0.044185714285714286
1.179473,0.12970248,0.04794285714285715,0.034728571428571435
0.3413838,0.47439024,0.05,0.024457142857142858
1.1596415,0.039908506,0.047142857142857146,0.03478571428571429
-0.2071591,-0.90131634,0.013714285714285715,0.013942857142857144
0.33910805,0.14047086,0.05,0.025800000000000003
-0.2850778,1.5972298,0.05,0.03445714285714286
-0.18473431,1.6714959,0.05,0.03337142857142857
-0.33021307,0.20335956,0.05,0.0342
-1.2651677,-1.437549,0.034728571428571435,0.044885714285714286
1.3636421,0.3519678,0.04757142857142857,0.034485714285714286
0.6984874,1.4953227,0.05,0.040214285714285716
1.0439415,0.37273207,0.04731428571428572,0.03512857142857143
1.3622993,0.19491932,0.04857142857142857,0.03491428571428572
-0.56905985,-0.10575205,0.05,0.03441428571428572
1.3121154,0.6234521,0.04688571428571429,0.03465714285714286
-2.0889452,0.6056872,0.0303,0.04285714285714286
-1.5660384,0.45661664,0.0323,0.04962857142857143
-1.6826296,0.47210696,0.03217142857142857,0.04977142857142858
0.7893816,-1.1558192,0.03534285714285714,0.05
0.020132024,0.016693529,0.05,0.027628571428571433
-2.0984879,0.7032748,0.0303,0.04285714285714286
-1.6275967,0.3413384,0.031971428571428574,0.04912857142857143
-0.14922477,-0.8504026,0.013714285714285715,0.013942857142857144
0.13062036,0.18512322,0.05,0.026600000000000002
-1.4901023,-1.5334411,0.03488571428571429,0.04467142857142858
0.64814514,-1.5009414,0.03722857142857143,0.05
1.317829,0.8125341,0.04705714285714286,0.034100000000000005
0.41916418,-1.1886644,0.03457142857142857,0.05
0.34234622,0.44412178,0.05,0.024714285714285716
1.0223368,0.24856536,0.04694285714285715,0.03447142857142857
0.88638395,0.29364085,0.04794285714285715,0.035114285714285716
-0.5309354,-0.027165558,0.05,0.034114285714285715
